City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
0,Torbay,47.6666,-52.7314,45.39,scattered clouds,64,40,25.32,CA
1,Mehamn,71.0357,27.8492,37.33,overcast clouds,89,100,29.53,NO
2,Yellowknife,62.456,-114.3525,14.52,broken clouds,48,75,9.22,CA
3,Ahipara,-35.1667,173.1667,68.0,overcast clouds,69,100,17.34,NZ
4,Oktyabrskoye,43.0645,44.7417,32.14,clear sky,100,0,8.95,RU
5,Punta Arenas,-53.15,-70.9167,46.51,scattered clouds,81,40,13.8,CL
6,Francisco Beltrao,-26.0811,-53.055,52.99,clear sky,84,0,3.31,BR
7,Hilo,19.7297,-155.09,73.27,heavy intensity rain,92,100,4.61,US
8,Suleja,9.1758,7.1808,81.59,light rain,73,95,2.17,NG
9,Puerto Ayora,-0.7393,-90.3518,75.4,broken clouds,91,79,5.32,EC
10,Busselton,-33.65,115.3333,63.77,broken clouds,47,52,10.69,AU
11,Hobart,-42.8794,147.3294,76.23,clear sky,61,0,14.97,AU
12,Saskylakh,71.9167,114.0833,18.72,overcast clouds,92,100,18.99,RU
13,Bengkulu,-3.8004,102.2655,83.46,overcast clouds,70,89,2.75,ID
14,Port Alfred,-33.5906,26.891,58.17,overcast clouds,93,100,9.35,ZA
15,Airai,-8.9266,125.4092,74.34,scattered clouds,59,29,1.7,TL
16,Rocha,-34.4833,-54.3333,53.83,clear sky,91,0,1.79,UY
17,Atasu,48.6814,71.6433,56.91,overcast clouds,25,100,4.9,KZ
18,Bluff,-46.6,168.3333,53.8,overcast clouds,57,93,8.01,NZ
19,Samarai,-10.6167,150.6667,83.66,overcast clouds,73,99,7.0,PG
20,Pevek,69.7008,170.3133,7.65,overcast clouds,89,100,6.44,RU
21,Mataura,-46.1927,168.8643,53.47,overcast clouds,48,99,4.25,NZ
22,Saldanha,-33.0117,17.9442,57.25,clear sky,69,0,9.95,ZA
23,Ponta Delgada,37.7333,-25.6667,61.52,few clouds,82,20,10.36,PT
24,Ulladulla,-35.35,150.4667,72.5,clear sky,50,2,9.89,AU
25,Guerrero Negro,27.9769,-114.0611,60.49,scattered clouds,83,46,19.48,MX
26,Mareeba,-17.0,145.4333,80.44,overcast clouds,69,100,7.0,AU
27,Qaanaaq,77.484,-69.3632,-19.86,clear sky,73,8,7.36,GL
28,Kapaa,22.0752,-159.319,73.38,heavy intensity rain,97,97,5.01,US
29,Wiarton,44.7407,-81.1332,31.03,broken clouds,69,75,8.05,CA
30,Mogadishu,2.0371,45.3438,82.47,overcast clouds,79,100,10.78,SO
31,Port Elizabeth,-33.918,25.5701,61.32,few clouds,91,20,8.05,ZA
32,Ushuaia,-54.8,-68.3,37.06,clear sky,81,0,4.61,AR
33,Kurchum,48.5722,83.6542,51.71,clear sky,26,0,4.45,KZ
34,Lebu,-37.6167,-73.65,52.97,scattered clouds,93,45,10.98,CL
35,Khatanga,71.9667,102.5,21.58,overcast clouds,95,88,8.1,RU
36,Tuktoyaktuk,69.4541,-133.0374,3.2,broken clouds,72,75,6.91,CA
37,Chuy,-33.6971,-53.4616,59.18,clear sky,85,0,5.39,UY
38,Pak Phanang,8.3511,100.202,84.22,overcast clouds,71,100,4.05,TH
39,Barrow,71.2906,-156.7887,9.28,clear sky,85,7,14.99,US
40,Visby,57.6409,18.296,35.82,broken clouds,69,75,6.91,SE
41,Victoria,22.2855,114.1577,71.26,overcast clouds,77,99,11.01,HK
42,Rikitea,-23.1203,-134.9692,78.82,scattered clouds,68,32,12.93,PF
43,Kidal,18.4411,1.4078,74.86,overcast clouds,17,100,12.17,ML
44,Port Hardy,50.6996,-127.4199,48.38,scattered clouds,53,40,16.11,CA
45,Arica,-18.475,-70.3042,62.83,clear sky,77,0,2.3,CL
46,Bayan,46.0833,127.4,48.7,clear sky,21,1,13.29,CN
47,Ouallam,14.3188,2.0866,82.63,overcast clouds,9,92,10.04,NE
48,Saint-Philippe,-21.3585,55.7679,72.99,scattered clouds,78,39,8.66,RE
49,Tahoua,14.8888,5.2692,80.58,overcast clouds,12,99,9.33,NE
50,Blackpool,53.8167,-3.05,55.72,overcast clouds,95,90,8.08,GB
51,Saurimo,-9.6608,20.3916,63.91,light rain,99,100,3.89,AO
52,San Felipe,10.3399,-68.7425,73.49,light rain,95,62,3.89,VE
53,Serik,36.9169,31.0989,55.65,overcast clouds,50,100,3.67,TR
54,Sitka,57.0531,-135.33,41.58,overcast clouds,69,97,3.65,US
55,Jamestown,42.097,-79.2353,37.02,broken clouds,57,61,5.01,US
56,Castro,-24.7911,-50.0119,49.57,clear sky,96,0,5.3,BR
57,Vardo,70.3705,31.1107,38.26,overcast clouds,83,100,29.17,NO
58,Bima,-8.4667,118.7167,87.62,overcast clouds,65,86,1.99,ID
59,Antofagasta,-23.65,-70.4,60.93,broken clouds,81,60,5.06,CL
60,Klaksvik,62.2266,-6.589,47.32,moderate rain,97,100,22.53,FO
61,Mar Del Plata,-38.0023,-57.5575,62.1,fog,89,91,8.01,AR
62,Salalah,17.0151,54.0924,77.59,clear sky,70,0,0.87,OM
63,West Chester,39.9607,-75.6055,53.73,overcast clouds,82,100,8.05,US
64,Atuona,-9.8,-139.0333,78.84,light rain,80,84,17.09,PF
65,Ondangwa,-17.9167,15.95,71.96,overcast clouds,61,99,2.39,NA
66,Hermanus,-34.4187,19.2345,56.8,clear sky,82,5,13.42,ZA
67,Dikson,73.5069,80.5464,6.53,overcast clouds,94,100,14.54,RU
68,Porto Novo,6.4965,2.6036,79.9,overcast clouds,82,100,4.83,BJ
69,San Patricio,28.017,-97.5169,78.89,broken clouds,83,81,10.13,US
70,Tura,25.5198,90.2201,76.64,clear sky,79,3,5.86,IN
71,Srednekolymsk,67.45,153.6833,18.63,overcast clouds,86,100,7.0,RU
72,Thompson,55.7435,-97.8558,17.31,overcast clouds,91,100,2.77,CA
73,Tilichiki,60.4667,166.1,30.31,broken clouds,89,61,5.77,RU
74,Qaqortoq,60.7167,-46.0333,27.3,clear sky,87,7,4.54,GL
75,Abu Dhabi,24.4667,54.3667,84.22,clear sky,64,0,4.61,AE
76,Arraial Do Cabo,-22.9661,-42.0278,72.61,clear sky,70,0,14.92,BR
77,Ponta Do Sol,32.6667,-17.1,70.43,overcast clouds,44,100,7.45,PT
78,Prado,-17.3411,-39.2208,76.23,light rain,73,100,9.08,BR
79,Cape Town,-33.9258,18.4232,61.92,clear sky,68,2,8.99,ZA
80,Narathiwat,6.3333,101.75,89.51,overcast clouds,78,92,4.43,TH
81,Butaritari,3.0707,172.7902,81.91,scattered clouds,76,37,12.06,KI
82,Hambantota,6.1241,81.1185,77.34,broken clouds,100,75,3.44,LK
83,Nikolskoye,59.7035,30.7861,32.81,broken clouds,82,62,3.2,RU
84,Taltal,-25.4,-70.4833,62.06,clear sky,74,0,3.96,CL
85,Albany,42.6001,-73.9662,39.63,overcast clouds,92,97,4.07,US
86,Port Hedland,-20.3167,118.5667,96.85,few clouds,16,11,12.66,AU
87,Namibe,-15.1961,12.1522,72.39,broken clouds,75,75,6.53,AO
88,Mahebourg,-20.4081,57.7,76.24,light rain,82,59,13.56,MU
89,Sidi Ali,36.0998,0.4206,56.37,clear sky,65,4,5.79,DZ
90,Beringovskiy,63.05,179.3167,31.78,light snow,98,100,19.26,RU
91,Sabha,27.0377,14.4283,65.41,clear sky,37,0,12.91,LY
92,Danville,36.586,-79.395,67.08,overcast clouds,70,100,5.41,US
93,Labuhan,-6.8844,112.2051,84.69,scattered clouds,74,48,3.78,ID
94,Tazovskiy,67.4667,78.7,12.16,overcast clouds,92,100,17.85,RU
95,Karratha,-20.7377,116.8463,92.86,clear sky,31,10,5.32,AU
96,Port Augusta,-32.5,137.7667,82.35,light rain,25,100,15.32,AU
97,Pueblo Nuevo,23.3833,-105.3833,61.07,overcast clouds,22,100,2.62,MX
98,Mecca,21.4267,39.8261,80.56,clear sky,34,0,5.19,SA
99,Te Anau,-45.4167,167.7167,55.36,overcast clouds,53,99,0.49,NZ
100,Bilibino,68.0546,166.4372,22.53,overcast clouds,81,98,2.01,RU
101,Sarangani,5.4033,125.4636,82.29,scattered clouds,69,33,2.1,PH
102,Balabac,7.9868,117.0645,83.88,broken clouds,70,83,4.72,PH
103,Naryan-Mar,67.6713,53.087,18.59,overcast clouds,96,100,6.51,RU
104,Gigmoto,13.7796,124.39,81.28,overcast clouds,79,88,6.33,PH
105,Kavieng,-2.5744,150.7967,84.51,scattered clouds,71,31,8.75,PG
106,Quatre Cocos,-20.2078,57.7625,76.08,light rain,82,80,14.23,MU
107,Caravelas,-17.7125,-39.2481,77.77,light rain,69,100,10.74,BR
108,Seoul,37.5683,126.9778,60.19,haze,45,0,4.61,KR
109,Mbini,1.574,9.6134,78.42,overcast clouds,86,100,3.78,GQ
110,Iqaluit,63.7506,-68.5145,9.7,overcast clouds,84,100,4.0,CA
111,Bandar-E Anzali,37.4727,49.4622,52.83,overcast clouds,62,99,2.59,IR
112,Clyde River,70.4692,-68.5914,-9.17,light snow,84,100,4.61,CA
113,Concepcion,-36.827,-73.0498,54.07,clear sky,74,4,0.25,CL
114,Bethel,41.3712,-73.414,45.93,light rain,91,96,4.0,US
115,Chisec,15.8167,-90.2833,76.08,broken clouds,78,53,3.38,GT
116,Vaini,-21.2,-175.2,80.56,scattered clouds,75,42,12.17,TO
117,Hasaki,35.7333,140.8333,61.29,overcast clouds,54,100,9.62,JP
118,Krotoszyn,51.6987,17.4374,31.57,scattered clouds,82,29,6.11,PL
119,Tirumullaivasal,11.2333,79.8333,85.23,moderate rain,71,8,12.03,IN
120,Los Llanos De Aridane,28.6585,-17.9182,60.55,clear sky,82,0,12.66,ES
121,Polyarnyy,69.1989,33.4478,37.18,overcast clouds,88,100,25.05,RU
122,Mumford,5.2618,-0.759,78.44,overcast clouds,84,100,5.64,GH
123,Paramonga,-10.6667,-77.8333,66.38,overcast clouds,86,100,7.67,PE
124,Mayo,38.8876,-76.5119,62.19,overcast clouds,78,100,16.11,US
125,Georgetown,5.4112,100.3354,85.95,few clouds,87,20,5.01,MY
126,Upernavik,72.7868,-56.1549,-17.1,scattered clouds,100,50,8.7,GL
127,Chumikan,54.7183,135.315,29.37,light snow,76,100,6.91,RU
128,Harper,4.375,-7.7169,76.98,moderate rain,88,100,2.57,LR
129,Itarema,-2.9248,-39.9167,77.79,moderate rain,85,85,5.44,BR
130,Berceni,44.9333,26.1167,47.07,overcast clouds,80,100,12.62,RO
131,Marsa Matruh,31.3525,27.2453,71.8,overcast clouds,36,100,20.83,EG
132,Brainerd,46.358,-94.2008,30.49,scattered clouds,67,29,5.19,US
133,Cherskiy,68.75,161.3,22.78,overcast clouds,87,100,12.68,RU
134,Chenzhou,25.8,113.0333,51.96,overcast clouds,96,100,2.44,CN
135,Severo-Kurilsk,50.6789,156.125,32.86,overcast clouds,78,100,11.1,RU
136,Clarence Town,-32.5833,151.7833,74.61,clear sky,55,9,3.13,AU
137,Buala,-8.145,159.5921,83.19,light rain,71,90,3.31,SB
138,Narimanov,46.6927,47.8498,40.91,broken clouds,71,84,4.07,RU
139,Waingapu,-9.6567,120.2641,85.42,moderate rain,73,47,8.61,ID
140,Nishihara,26.1842,127.7558,69.08,broken clouds,60,75,11.5,JP
141,Ketchikan,55.3422,-131.6461,45.82,scattered clouds,46,44,4.21,US
142,Nokaneng,-19.6667,22.2667,65.59,overcast clouds,85,99,6.58,BW
143,Aksu,41.1231,80.2644,57.27,overcast clouds,13,87,8.37,CN
144,Lagoa,39.05,-27.9833,58.33,clear sky,74,0,14.7,PT
145,New Norfolk,-42.7826,147.0587,75.88,overcast clouds,36,100,10.22,AU
146,Praia,14.9215,-23.5087,70.34,broken clouds,73,75,13.8,CV
147,Haines Junction,60.7522,-137.5108,33.39,light snow,72,100,2.82,CA
148,Sohag,26.557,31.6948,79.34,clear sky,15,0,5.55,EG
149,Jiangyou,31.7667,104.7167,52.57,overcast clouds,83,100,1.63,CN
150,Almansa,38.8692,-1.0971,57.85,clear sky,56,0,3.94,ES
151,Bredasdorp,-34.5322,20.0403,56.14,clear sky,83,2,7.65,ZA
152,Wattegama,6.7989,81.4808,78.67,broken clouds,86,68,5.14,LK
153,Sao Jose Da Coroa Grande,-8.8978,-35.1478,79.07,broken clouds,87,64,7.85,BR
154,Tygda,53.1167,126.3333,41.4,few clouds,33,12,7.56,RU
155,Arlit,18.7369,7.3853,73.9,overcast clouds,13,93,9.84,NE
156,Talnakh,69.4865,88.3972,13.89,overcast clouds,94,100,15.75,RU
157,Kutum,14.2,24.6667,71.53,clear sky,10,7,3.76,SD
158,Pangnirtung,66.1451,-65.7125,-0.85,overcast clouds,90,100,6.82,CA
159,Chokurdakh,70.6333,147.9167,6.71,few clouds,88,24,2.82,RU
160,Cusuna,15.85,-85.2333,76.12,clear sky,83,6,9.01,HN
161,Pedernales,18.0384,-71.744,78.49,overcast clouds,71,95,7.11,DO
162,Sobolevo,54.4299,31.8996,29.71,overcast clouds,89,92,12.84,RU
163,Miri,4.4148,114.0089,84.78,overcast clouds,68,99,4.92,MY
164,Vila Franca Do Campo,37.7167,-25.4333,61.21,overcast clouds,91,99,9.08,PT
165,Vomp,47.3333,11.6833,40.41,scattered clouds,78,26,2.8,AT
166,Canico,32.6333,-16.85,70.43,few clouds,52,20,20.71,PT
167,San Cristobal,7.7669,-72.225,67.14,overcast clouds,97,100,4.21,VE
168,Champerico,14.3,-91.9167,84.16,few clouds,70,13,10.04,GT
169,Biak,-0.9131,122.8766,79.47,moderate rain,84,93,2.13,ID
170,Ocho Rios,18.4025,-77.1048,72.81,broken clouds,80,75,3.71,JM
171,Mimongo,-1.6195,11.6068,68.68,light rain,99,92,0.34,GA
172,Hovd,48.0056,91.6419,47.66,clear sky,13,0,1.43,MN
173,Sayyan,15.1718,44.3244,58.73,clear sky,30,5,1.52,YE
174,Flin Flon,54.7682,-101.865,21.74,overcast clouds,88,100,3.15,CA
175,Kaitangata,-46.2817,169.8464,55.67,broken clouds,57,80,10.29,NZ
176,Gonbad-E Qabus,37.25,55.1672,51.37,light rain,91,100,5.77,IR
177,Soe,-9.8607,124.284,79.43,scattered clouds,63,45,4.45,ID
178,Ashtian,34.5217,50.0019,41.97,clear sky,34,5,6.17,IR
179,Shetpe,44.1667,52.1167,51.17,scattered clouds,61,31,6.89,KZ
180,Nemuro,43.3236,145.575,40.57,clear sky,76,4,15.43,JP
181,Pisco,-13.7,-76.2167,66.02,overcast clouds,84,100,2.51,PE
182,Asau,46.4333,26.4,36.52,overcast clouds,90,100,5.93,RO
183,Iquique,-20.2208,-70.1431,62.64,broken clouds,78,63,2.89,CL
184,Geraldton,-28.7667,114.6,68.41,overcast clouds,68,100,16.11,AU
185,Port Blair,11.6667,92.75,84.24,few clouds,79,20,2.3,IN
186,Tasiilaq,65.6145,-37.6368,33.96,snow,97,100,7.65,GL
187,Ribeira Grande,38.5167,-28.7,59.61,clear sky,78,1,18.48,PT
188,Hithadhoo,-0.6,73.0833,83.41,overcast clouds,63,97,6.62,MV
189,Las Choapas,17.9333,-94.0833,78.55,clear sky,82,8,7.61,MX
190,Ilulissat,69.2167,-51.1,-8.21,clear sky,92,10,5.86,GL
191,Aklavik,68.2191,-135.0107,13.91,few clouds,81,20,12.3,CA
192,Hobyo,5.3505,48.5268,82.45,clear sky,78,10,14.16,SO
193,Bemidji,47.4736,-94.8803,28.06,clear sky,68,0,5.75,US
194,Balaipungut,1.05,101.2833,78.93,light rain,91,100,1.52,ID
195,Viedma,-40.8135,-62.9967,55.89,clear sky,76,1,9.4,AR
196,Zverinogolovskoye,54.4586,64.8542,37.56,clear sky,74,10,10.04,RU
197,Urumqi,43.801,87.6005,56.35,clear sky,14,0,4.47,CN
198,Cabo San Lucas,22.8909,-109.9124,80.62,overcast clouds,55,100,10.83,MX
199,Swan Hill,-35.3378,143.5544,81.95,few clouds,27,20,15.61,AU
200,Bereda,43.2686,-7.5406,50.14,scattered clouds,100,47,1.61,ES
201,Northam,51.0333,-4.2167,53.38,overcast clouds,71,100,8.43,GB
202,San Nicolas,18.1725,120.5953,87.26,few clouds,53,20,4.5,PH
203,Lake City,30.1897,-82.6393,75.85,broken clouds,88,75,0.0,US
204,Oranjemund,-28.55,16.4333,57.31,clear sky,78,0,4.36,NA
205,Gezing,47.9178,13.1299,34.36,few clouds,99,13,2.3,AT
206,Coquimbo,-29.9533,-71.3436,56.93,broken clouds,88,75,4.61,CL
207,Broome,42.2506,-75.833,41.45,mist,81,75,13.8,US
208,Porlamar,10.958,-63.8491,78.33,scattered clouds,82,25,21.52,VE
209,Pelotas,-31.7719,-52.3425,56.86,scattered clouds,90,31,2.44,BR
210,Esperance,-33.8667,121.9,62.96,overcast clouds,64,93,15.35,AU
211,Avarua,-21.2078,-159.775,84.25,broken clouds,74,75,12.66,CK
212,Alyangula,-13.8483,136.4192,83.88,broken clouds,70,73,13.42,AU
213,Qasigiannguit,68.8193,-51.1922,-8.75,clear sky,92,9,5.7,GL
214,Mount Gambier,-37.8333,140.7667,73.31,light intensity shower rain,38,75,17.27,AU
215,Boende,-0.2167,20.8667,70.92,overcast clouds,97,100,2.55,CD
216,Marystown,47.1666,-55.1483,44.55,overcast clouds,57,98,20.31,CA
217,Hannibal,39.7084,-91.3585,47.32,clear sky,31,0,0.0,US
218,Ippy,6.2679,21.2247,74.48,scattered clouds,68,26,3.65,CF
219,Portland,45.5234,-122.6762,50.45,overcast clouds,65,100,11.5,US
220,Aykhal,66.0,111.5,30.04,snow,96,100,14.58,RU
221,Majene,-3.5403,118.9707,77.58,light rain,87,100,2.98,ID
222,Fortuna,40.5982,-124.1573,51.66,clear sky,69,0,8.05,US
223,Provideniya,64.3833,-173.3,32.63,light snow,95,99,11.18,RU
224,Tiksi,71.6872,128.8694,4.06,scattered clouds,91,29,6.26,RU
225,Vanimo,-2.6741,141.3028,86.56,broken clouds,65,54,4.65,PG
